
size		reps		heap execution	heap std

100		150		0.00000000	0.00000000
200		145		0.00005517	0.00066207
300		140		0.00000000	0.00000000
400		135		0.00000000	0.00000000
500		130		0.00000000	0.00000000
600		125		0.00000000	0.00000000
700		120		0.00000000	0.00000000
800		115		0.00016522	0.00149742
900		110		0.00015455	0.00142820
1000		105		0.00002857	0.00016660
2000		100		0.00000000	0.00000000
3000		95		0.00033684	0.00229696
4000		90		0.00038889	0.00194762
5000		85		0.00036471	0.00235070
6000		80		0.00055000	0.00279687
7000		75		0.00020000	0.00172047
8000		70		0.00121429	0.00407744
9000		65		0.00072308	0.00328871
10000		60		0.00010000	0.00076811
20000		55		0.00056364	0.00290306
30000		50		0.00488000	0.00605851
40000		45		0.00486667	0.00425624
50000		40		0.00522500	0.00333532
60000		35		0.00511429	0.00461532
70000		30		0.00476667	0.00428706
80000		25		0.00480000	0.00448999
90000		20		0.00545000	0.00415301
100000		15		0.00526667	0.00413871
200000		10		0.00420000	0.00493559
300000		10		0.00400000	0.00419524
400000		10		0.00620000	0.00442267
500000		10		0.00600000	0.00428952
600000		10		0.00460000	0.00447661
700000		10		0.00650000	0.00467440
800000		10		0.00500000	0.00431277
900000		10		0.00510000	0.00425323
1000000		10		0.00400000	0.00489898
