
size		reps		heap execution	heap std

100		300		0.00000333	0.00005764
200		295		0.00001017	0.00010033
300		290		0.00001034	0.00010118
400		285		0.00002807	0.00016517
500		280		0.00002857	0.00016660
600		275		0.00000727	0.00008497
700		270		0.00000741	0.00008575
800		265		0.00008302	0.00027591
900		260		0.00008846	0.00028396
1000		255		0.00009412	0.00029199
2000		250		0.00010800	0.00031038
3000		245		0.00011020	0.00031314
4000		240		0.00011250	0.00031598
5000		235		0.00010213	0.00030282
6000		230		0.00012174	0.00032698
7000		225		0.00010667	0.00030869
8000		220		0.00010000	0.00030000
9000		215		0.00012558	0.00033138
10000		210		0.00010000	0.00030000
15000		205		0.00010244	0.00030322
20000		200		0.00011000	0.00031289
25000		195		0.00011282	0.00031637
30000		190		0.00011053	0.00031354
35000		185		0.00009730	0.00029636
40000		180		0.00015000	0.00037231
45000		175		0.00009714	0.00029615
50000		170		0.00008235	0.00027490
55000		165		0.00007879	0.00026941
60000		160		0.00008125	0.00027322
65000		155		0.00010323	0.00030425
70000		150		0.00009333	0.00029090
75000		145		0.00010345	0.00030454
80000		140		0.00009286	0.00029023
85000		135		0.00007407	0.00026189
90000		130		0.00008462	0.00027831
95000		125		0.00019200	0.00070081
100000		120		0.00011667	0.00032102
150000		115		0.00009565	0.00029411
200000		110		0.00009091	0.00028748
250000		105		0.00015238	0.00155399
300000		100		0.00016000	0.00159198
350000		95		0.00000000	0.00000000
400000		90		0.00002222	0.00014741
450000		85		0.00010588	0.00030769
500000		80		0.00008750	0.00028257
550000		75		0.00013333	0.00033993
600000		70		0.00010000	0.00030000
650000		65		0.00003077	0.00017269
700000		60		0.00013333	0.00033993
750000		55		0.00000000	0.00000000
800000		50		0.00000000	0.00000000
850000		45		0.00017778	0.00038233
900000		40		0.00007500	0.00026339
950000		35		0.00008571	0.00027994
1000000		30		0.00006667	0.00024944
1500000		25		0.00004000	0.00019596
2000000		20		0.00010000	0.00030000
