
size		reps		heap execution	heap std

100		500		0.00000200	0.00004468
200		490		0.00000408	0.00006376
300		480		0.00000417	0.00006442
400		470		0.00000213	0.00004608
500		460		0.00002174	0.00014583
600		450		0.00000667	0.00008138
700		440		0.00005909	0.00023579
800		430		0.00003953	0.00019486
900		420		0.00003333	0.00017951
1000		410		0.00002683	0.00016158
2000		400		0.00019000	0.00039230
3000		390		0.00020000	0.00040000
4000		380		0.00017105	0.00158437
5000		370		0.00018649	0.00164245
6000		360		0.00021111	0.00145483
7000		350		0.00024000	0.00187757
8000		340		0.00018529	0.00169890
9000		330		0.00021818	0.00094755
10000		320		0.00020313	0.00040232
15000		310		0.00014516	0.00126296
20000		300		0.00026000	0.00199810
25000		290		0.00029310	0.00208450
30000		280		0.00024643	0.00190112
35000		270		0.00014074	0.00141768
40000		260		0.00018846	0.00141389
45000		250		0.00012400	0.00138153
50000		240		0.00020000	0.00177764
55000		230		0.00023043	0.00179708
60000		220		0.00020909	0.00177915
65000		210		0.00030000	0.00215373
70000		200		0.00016000	0.00159198
75000		190		0.00021053	0.00159205
80000		180		0.00013333	0.00132665
85000		170		0.00021765	0.00132609
90000		160		0.00019375	0.00085511
95000		150		0.00024667	0.00180716
100000		140		0.00022857	0.00129473
150000		130		0.00014615	0.00115100
200000		120		0.00028333	0.00205014
250000		110		0.00042727	0.00255293
300000		100		0.00015000	0.00149248
350000		90		0.00052222	0.00281357
400000		80		0.00000000	0.00000000
450000		70		0.00004286	0.00020253
500000		60		0.00000000	0.00000000
550000		50		0.00000000	0.00000000
600000		40		0.00000000	0.00000000
650000		30		0.00000000	0.00000000
700000		20		0.00160000	0.00480000
750000		10		0.00010000	0.00030000
800000		10		0.00000000	0.00000000
850000		10		0.00000000	0.00000000
900000		10		0.00000000	0.00000000
950000		10		0.00000000	0.00000000
1000000		10		0.00000000	0.00000000
1500000		10		0.00000000	0.00000000
2000000		10		0.00000000	0.00000000
2500000		10		0.00010000	0.00030000
3000000		10		0.00000000	0.00000000
3500000		10		0.00000000	0.00000000
4000000		10		0.00080000	0.00240000
