
size		reps		quick execution	quick std

100		100		0.00001000	0.00009950
200		95		0.00004211	0.00020083
300		90		0.00006667	0.00024944
400		85		0.00029412	0.00045565
500		80		0.00040000	0.00048990
600		75		0.00013333	0.00033993
700		70		0.00101429	0.00039615
800		65		0.00072308	0.00044748
900		60		0.00110000	0.00043589
1000		55		0.00090909	0.00034498
2000		50		0.00198000	0.00058275
3000		45		0.01175556	0.00403405
4000		40		0.00402500	0.00366393
5000		35		0.03271429	0.01278296
6000		30		0.05743333	0.02662791
7000		25		0.07560000	0.04283737
8000		20		0.00670000	0.00416053
9000		15		0.02833333	0.01919259
10000		10		0.03920000	0.03237839
20000		10		0.40840000	0.40019025
30000		10		0.86170000	0.86087549
40000		10		0.63770000	0.71754959
50000		10		0.81930000	0.92721918
60000		10		0.82330000	1.04020787
70000		10		2.62620000	3.32849329
80000		10		1.74510000	2.22057684
90000		10		2.38400000	2.91931584
100000		10		2.78350000	3.51693842
200000		10		10.79900000	14.32016642
