
size		reps		quick execution	quick std

100		150		0.00000000	0.00000000
200		145		0.00006897	0.00082759
300		140		0.00022143	0.00184029
400		135		0.00011111	0.00128620
500		130		0.00012308	0.00139789
600		125		0.00064800	0.00274592
700		120		0.00105833	0.00376230
800		115		0.00121739	0.00254279
900		110		0.00061818	0.00124303
1000		105		0.00030476	0.00148082
2000		100		0.00078000	0.00159110
3000		95		0.01149474	0.00400493
4000		90		0.04731111	0.01334969
5000		85		0.09052941	0.02797587
6000		80		0.12296250	0.03640585
7000		75		0.09186667	0.02737412
8000		70		0.21292857	0.06985645
9000		65		0.03335385	0.00915244
10000		60		0.23381667	0.07919754
20000		55		1.28156364	0.46949624
30000		50		0.75604000	0.25223846
40000		45		3.17882222	1.19266060
50000		40		5.70250000	2.63202135
60000		35		8.78442857	4.56277267
70000		30		12.26853333	6.70083130
